NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    1     7    2.67    0.00    0.00   20.00   -0.22   -0.01   24.99
    1     7    2.67   -0.22   -0.01   24.99   -0.85    0.07   29.95
    1     7    2.67   -0.85    0.07   29.95   -1.20   -0.26   34.93
    1     7    2.67   -1.20   -0.26   34.93   -2.03   -0.21   39.86
    1     7    2.67   -2.03   -0.21   39.86   -3.16    0.46   44.69
    1     8    2.62   -3.16    0.46   44.69   -4.79    1.29   49.34
    1     8    2.62   -4.79    1.29   49.34   -6.64    2.40   53.85
    1     8    2.62   -6.64    2.40   53.85   -8.80    2.99   58.32
    1     8    2.61   -8.80    2.99   58.32  -11.43    3.87   62.48
    1     8    2.55  -11.43    3.87   62.48  -14.56    4.89   66.25
    1     8    2.53  -14.56    4.89   66.25  -17.53    5.45   70.23
    1     9    2.53  -17.53    5.45   70.23  -20.63    6.26   74.07
    1     9    2.52  -20.63    6.26   74.07  -23.52    6.38   78.15
    1     9    2.52  -23.52    6.38   78.15  -26.13    7.01   82.37
    1     9    2.52  -26.13    7.01   82.37  -28.40    7.87   86.73
    1     9    2.47  -28.40    7.87   86.73  -30.78    9.16   90.94
    1     9    2.47  -30.78    9.16   90.94  -32.71   10.00   95.47
    1    10    2.47  -32.71   10.00   95.47  -34.75   10.39  100.02
    1    10    2.47  -34.75   10.39  100.02  -37.09   10.49  104.44
    1    10    2.47  -37.09   10.49  104.44  -39.58   11.03  108.74
    1    10    2.47  -39.58   11.03  108.74  -41.67   10.99  113.29
    1    10    2.47  -41.67   10.99  113.29  -43.16   10.92  118.06
    1    11    2.42  -43.16   10.92  118.06  -45.01   10.46  122.68
    1    11    2.39  -45.01   10.46  122.68  -47.26    9.64  127.07
    1    11    2.39  -47.26    9.64  127.07  -49.76    9.38  131.39
    1    11    2.32  -49.76    9.38  131.39  -52.21    9.40  135.75
    1    11    2.25  -52.21    9.40  135.75  -54.73    8.95  140.05
    1    11    2.25  -54.73    8.95  140.05  -57.55    8.12  144.09
    1    12    2.25  -57.55    8.12  144.09  -60.90    7.57  147.76
    1    12    2.19  -60.90    7.57  147.76  -64.38    7.36  151.35
    1    12    2.19  -64.38    7.36  151.35  -67.93    6.87  154.83
    1    12    2.19  -67.93    6.87  154.83  -71.47    6.05  158.27
    1    12    2.15  -71.47    6.05  158.27  -75.25    5.31  161.46
    1    12    2.13  -75.25    5.31  161.46  -79.37    4.42  164.14
    1    13    2.13  -79.37    4.42  164.14  -83.19    3.02  167.05
    1    13    2.06  -83.19    3.02  167.05  -86.73    1.16  170.05
    1    13    2.06  -86.73    1.16  170.05  -90.50   -0.68  172.77
    1    13    2.03  -90.50   -0.68  172.77  -94.33   -1.97  175.71
    1    13    2.03  -94.33   -1.97  175.71  -98.49   -2.67  178.40
    1    14    2.03  -98.49   -2.67  178.40 -102.88   -3.06  180.77
    1    14    1.97 -102.88   -3.06  180.77 -107.53   -3.37  182.57
    1    14    1.97 -107.53   -3.37  182.57 -112.15   -3.07  184.44
    1    14    1.93 -112.15   -3.07  184.44 -116.68   -3.29  186.55
    1    14    1.93 -116.68   -3.29  186.55 -121.42   -3.34  188.16
    1    14    1.93 -121.42   -3.34  188.16 -126.15   -4.07  189.60
    1    15    1.93 -126.15   -4.07  189.60 -131.02   -4.85  190.41
    1    15    1.85 -131.02   -4.85  190.41 -135.86   -5.25  191.63
    1    15    1.85 -135.86   -5.25  191.63 -140.50   -5.47  193.47
    1    15    1.85 -140.50   -5.47  193.47 -145.29   -5.86  194.84
    1    15    1.83 -145.29   -5.86  194.84 -150.01   -5.68  196.49
    1    15    1.81 -150.01   -5.68  196.49 -154.72   -4.88  197.96
    1    16    1.81 -154.72   -4.88  197.96 -159.18   -3.93  200.01
    1    16    1.81 -159.18   -3.93  200.01 -163.44   -3.05  202.47
    1    16    1.73 -163.44   -3.05  202.47 -167.78   -1.76  204.58
    1    16    1.73 -167.78   -1.76  204.58 -171.91   -0.90  207.28
    1    16    1.73 -171.91   -0.90  207.28 -175.97    0.19  209.99
    1    17    1.70 -175.97    0.19  209.99 -179.92    1.11  212.90
    1    17    1.66 -179.92    1.11  212.90 -183.84    1.72  215.96
    1    17    1.66 -183.84    1.72  215.96 -187.83    2.77  218.77
