"Growth"	"Ramif"	"ICMeca"	"DirectionConstraint"
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
1	1	0.03	0
